id,listing_url,name,summary,space,host_name,host_response_rate,host_acceptance_rate,neighbourhood,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
18587279,https://www.airbnb.com/rooms/18587279,"Cozy, private suite with separate entrance.","Private, cozy suite with a bedroom, living room, kitchen area, and bathroom. We have just about everything you need to make this your home away from home in our wonderful city.","The private suite is located in a typical San Francisco single-family home. We live upstairs, and you'll be in the downstairs suite. We have two young girls, so you may hear footsteps. It's just a fact of life in a crowded city. The upshot is that they go to bed quite early.  The downstairs suite is new -- about a year old. Construction completed in late 2016. You enter through the common main gate just as we do. At that point, one door leads upstairs and the other door leads downstairs. Past the laundry area downstairs (one of two laundry areas), there is another lockable door that grants access into the private suite.  We strive to provide as much as we can to make you feel comfortable staying in our home. To that end, in the bedroom, we provide a very firm Beautyrest mattress, new high quality bedding, brand new hotel feel pillows, antique wood nightstands, a solid wood side table, a new bedside touch lamp; in the living room --  there is a new Pottery Barn couch, a TV, a radio ster",Ken,100%,,Bayview,Bayview,94124,37.73567,-122.38712,Apartment,Entire home/apt,2,$78.00 ,222,95.0,10.0,10.0,10.0,10.0,9.0,10.0,7.55
13749078,https://www.airbnb.com/rooms/13749078,Epic Views and Easy Parking - guest bedroom,"My place is away from the noise, pollution and hustle of downtown. You will sleep well, and may wake up to birdsong. It's convenient for the airport, has easy parking and yet you can be downtown in 15-20 minutes. You will enjoy beautiful views, friendly hosts and our loving dogs. My place is great for couples or families with children with a car.","Our family home was designed by local artists. From the antique-car-hood awning to the San Francisco Hyde Street Cable Car cable railing in the stairs, every feature is unique. High ceilings, walls of windows, and broad open spaces give this house a light and open feel and panoramic view of the city rare in a town where space tends to run sparse. Occasionally there is a second listing in this home for the master bedroom on the third floor, which is slightly larger. The title of the second listing is ""Enjoy space, quiet, views and easy parking"". My home is best for visitors with a car, or using Uber, Lyft or Taxis. Public transit is possible but slow from my home. The neighborhood is very residential, with the highest rates of home ownership in the city. There are nice restaurants nearby, but you will probably want to drive to them rather than walk. We use 100% renewable electricity.",Simon,100%,,Bayview,Bayview,94124,37.71594,-122.38913,House,Private room,4,$136.00 ,206,95.0,10.0,9.0,10.0,10.0,9.0,9.0,5.16
21385697,https://www.airbnb.com/rooms/21385697,Private room & study with lots of space,"Welcome to my house in Beautiful Bayview! I am about 15 minutes from the airport and  Downtown San Francisco. I’m 2.6 miles from the Chase Center, 3.4 miles from Oracle Park and 3.6 miles from Moscone Center. This room is spacious and extremely comfortable.   You will have a lot of room to breath, relax and get a great night's sleep. The adjacent room may also be occupied by a guest so please be courteous by keeping the noise down. I  welcome people from all countries, backgrounds, and cultures.","I am listing my beautiful room on Airbnb.  In this city, the rooms are tiny and my house has a lot of space and you can actually breath in this room.  This is the size of 1.5 rooms, as you have a small, cute study area as well.  You have a lock on the main door, so this is a private space for you.  I have hardwood floors throughout my place, so great for those with allergies.  I have 1.5 bathrooms that are shared.  There is one full bathroom with a shower  on the same level as the bedrooms and a small half-bath just past the kitchen.  You have access to both bathrooms.  In the morning from 5:30 am to 6:30 am, the showers are usually occupied.",Keisha,100%,,Bayview,Bayview,,37.73422,-122.39186,House,Private room,1,$59.00 ,205,98.0,10.0,10.0,10.0,10.0,9.0,10.0,8.66
16858141,https://www.airbnb.com/rooms/16858141,"Priv Room, TV w/ Netflix, Kitchen, Great Parking","This is a cozy private room w/ a full bed (and optional twin air mattress upon request) and flat screen TV w/ free Netflix. You get to use kitchen during your stay (fridge, microwave, stove/oven, dishes, coffee, etc.) and 2 bathrooms (kitchen & bathrooms shared w/ other guests). You'll have free/easy street parking, be a quick 14 min drive from SFO, 3 min walk to T train (which takes you downtown and AT&T Park), and a 13 min drive to downtown and AT&T Park.  You'll be in the heart of it all! :)","Please note that while your rooms are 100% private with a lock on it that only you will have, you will be sharing the kitchen and two bathrooms with three other Airbnb rooms.  This is part of the fun though as you can meet different people from around the world who are staying here with you.  Access to the kitchen and bathrooms is usually fine as most people spend the majority of their time out and about in the city, but sometimes during peak travel times you may feel the house being a little more full.  So to be very clear, you will see several other Airbnb guests in the home who are living close to you (the nature of such a dense city as San Francisco) and sharing the kitchen and bathrooms, but as you can see in the reviews that my guests have loved their time here as people are usually very friendly and respectful.  Also please note that the skylight above you is the only window access in this room. We live in one of the best areas in San Francisco for parking. Most places you'll ne",Sean,100%,,Bayview,Bayview,94124,37.72622,-122.3893,House,Private room,3,$130.00 ,161,94.0,10.0,9.0,10.0,10.0,9.0,9.0,4.91
15075530,https://www.airbnb.com/rooms/15075530,Spacious two-bedroom in San Francisco Victorian,Hi Everyone! I am renting a large stand alone two bedroom apartment in the lower level of my house. Built in 1900 this classic San Francisco Victorian has plenty of charm but recent renovations give it a modern feel and all of the comforts that you hope for while traveling. The apartment is perfectly located to access the City or the peninsula - it's a 15 minute drive from the airport and a short ride away from downtown.,"The apartment is quite large and has two bedrooms (each with a comfortable king bed), a living/dining room, a kitchen, and a full bathroom. It is furnished throughout with high quality, interesting pieces that make the space homey and comfortable. Being an avid traveler myself, I added all of the conveniences I hope for when away from home. Desks to work from in both bedrooms, a large flat screen TV with Netflix. even the small details like surge protectors on the night stands were thought out. The wifi is extremely fast (150 Mbps down) and there is strong coverage across the entire apartment. The kitchen i s fully stocked, fresh linens and toiletries are provided, and there is even a washer and dryer for your exclusive use. All in all it's a lovely space perfect for your trip to San Francisco.",Tim,90%,,Bayview,Bayview,94124,37.73504,-122.39281,Guest suite,Entire home/apt,4,$135.00 ,157,95.0,10.0,10.0,10.0,10.0,8.0,9.0,4.53
13774014,https://www.airbnb.com/rooms/13774014,Home SUITE Home,The suite is conveniently located steps away from major bus lines and minutes from some of the best SF has to offer!! Located in sunny Silver Terrace neighborhood of San Francisco only a ten minute cab ride  to the airport and ten more to the heart of the city.  Close aproximity to freeways keeps cab ride fares low!,"Enjoy your very own newly rennovated private suite.  The suite is bright and airy.   There's a quaint kitchen which is equipped with all the necessities to make a great meal (e.g. coffee maker, burner top, and toaster oven).  A built-in table with swivel bar stools is across the way for a cozy sit down dining experience.   The suite is outfitted with a queen Tempurpedic mattress for optimal sleeping comfortability.   There is also a sofa which can be converted to a bed.  I provide all the linens for the bed as well as the sofa sleeper.   I have a flat screen Tv that can be connected to the internet with the use of your laptop.  I do not have cable Tv. The bathroom is tucked behind a barn door for complete privacy.  There's a frameless standing shower big enough for 2 people, vanity with plenty of counter space, and large walk-in closet.  I provide hand soap, blow dryer, towels, and toilet paper.   I believe you will really enjoy the space that I have created.  Happy travels!",Lauren,100%,,Bayview,Bayview,94124,37.73436,-122.40488,House,Entire home/apt,3,$199.00 ,151,96.0,10.0,10.0,10.0,10.0,8.0,9.0,3.82
8277718,https://www.airbnb.com/rooms/8277718,Cozy Private Room&Bathroom in Bayview Heights! :),We offer a private room with its own bathroom in the Bayview Heights district of San Francisco. There is conveniently a train two blocks away that takes you straight to Downtown.,"We are living in a four bedroom home on top of a hill in San Francisco. Our home has a great view of The City from the living room; it is also walking distance from the bus stop that takes you directly to Downtown San Francisco. You will have a comfortable, clean private room-- with a queen bed, futon, dresser, TV, and closet-- and a full private bathroom. The room is also the only room on the floor along with the living room and kitchen whereas all other bedrooms are on the higher floor-therefore, there is lots of privacy :)",Melanie,100%,,Bayview,Bayview,94124,37.71755,-122.39659,House,Private room,2,$90.00 ,147,95.0,10.0,10.0,10.0,10.0,9.0,9.0,2.97
17445405,https://www.airbnb.com/rooms/17445405,Affordable Room in San Francisco,"FREE Street PARKING! 15 min from downtown SF, a home away from home. Affordable private room with 2 twin beds in SF in a peaceful neighborhood and gorgeous views of the SF Bay. Very friendly and accommodating host with a touch of Filipino hospitality. Come, visit San Francisco!","This home has been remodeled and updated. Private room is good for 2 guests. Your room has two twin beds for your restful sleep, linens provided, a mirrored closet and head of bed, your own Samsung cable connected TV, salt lamp for night’s dim light, portable heater that keeps the room warm, free wireless internet, and a telephone line with unlimited calls anywhere in North America, including Canada and Mexico. The bathroom is next to your room. Bathroom is shared in the house. It has shower, towels, soap/bath gels. Cameras/CCTV are installed outside the house and one inside the house facing the hallway for security.  ****** Usual check-in time is between 3:00 PM - 7:00 PM and is flexible if there is no guest checking-out from this listing on the day of your check-in. There are times you can check-in as early as 7AM provided that I don’t have a guest checking-out on the day of your check-in or I have a cleaner who can clean right away. Please ask. Check-out time is on or before 12:00 n",MightyIgor,100%,,Bayview,Bayview,94124,37.72789,-122.37043,Bungalow,Private room,2,$60.00 ,146,93.0,9.0,9.0,10.0,10.0,9.0,9.0,4.57
21187925,https://www.airbnb.com/rooms/21187925,"Chic, sun-drenched studio with views & parking","Boho-chic, sun-drenched studio anchored in the Bayview district. The fully furnished, 600 sq. ft. studio offers expansive city, hill, and Bay Bridge views.   The king-sized bed and full-sized sofa bed accommodate three. A garage spot fits a compact-sized car. Nearby transportation (Muni T-Line, Bayshore Caltrain stop, Hwy 101 & I-280) simplify exploring the city, traveling to the airport, commuting to Silicon Valley, visiting the UCSF medical center, or attending Chase center concerts.","Perched in the Silver Terrace, this bright and airy unit gets great light throughout the day and offers magic hour sunsets in the evening.  Designed to provide distinct areas to enjoy, the bedroom area keeps a king-sized bed, purple velvet reading chair, chest of drawers, and view of nature.  The sitting area offers a sofa that converts into a full-sized bed. If you tire of the view, the sitting area's TV informs and entertains.  From the sitting area, you can step out into your private balcony. Here, you can enjoy the breeze and songbirds nesting in the eucalyptus tree. The kitchen is fully equipped. Store your goodies in the apartment-sized fridge. Use the oven, stove or microwave to cook or warm up meals. Serve over the bar.  The bar lit by these mellow yellow 1960s lights, always pleases. It sits three. And the space, of course, wouldn't be complete, without its pink tiled private bathroom. Please note we do not allow smoking anywhere on the premise.",Jorge,100%,,Bayview,Bayview,94124,37.73593,-122.39676,Guest suite,Entire home/apt,3,$149.00 ,143,98.0,10.0,10.0,10.0,10.0,9.0,10.0,5.92
2263794,https://www.airbnb.com/rooms/2263794,Happy & Sunny Bayview Living - South Bedroom ❤️,"Hey! Make yourself comfortable, and welcome to my home here in the historic Bayview, San Francisco. I live in the master bedroom with my girlfriend Tiffany, and there are 2 private bedrooms available: this room and North (https://www.airbnb.com/rooms/ (Phone number hidden by Airbnb)","Making sure people have a good time is my  mission, so let me know what your mission is in SF and I'll try my best to make recommendations. I enjoy sharing good coffee with my guests, we got french press or espresso. Help yourself to cereal, milk, eggs. Your bathroom has a heated bidet, it's rather amazing.  Please let me know if you need more blankets or prefer the thermostat turned up.",Albert,100%,,Bayview,Bayview,94124,37.73583,-122.38737,House,Private room,2,$99.00 ,140,99.0,10.0,10.0,10.0,10.0,9.0,10.0,4.49
21964157,https://www.airbnb.com/rooms/21964157,Wing of San Francisco(旧金山之翼)2 Rooms for 1–5people,"WoSF位于旧金山市东南区的中西合璧2房1厅1卫浴大阳台整套房;单独出入口;宁静安全社区;免费提供停车位和早餐等｡驾车2分钟上101高速公路,距旧金山机场13分钟车程,20分钟到Downtown,邻近公车站餐厅超市等,交通购物方便快捷. Located at the southeast part of SF, WoSF is a Chinese styled interior home including two warm & bright bedrooms, classic blue white porcelain themed living room & dining space, and a big deck perfect for relaxation. We welcome a group of 1 – 5 people, provide FREE BREAKFAST& PARKING SPOT. 2 min driving to 101/280Fwy;13 min to SFO; 20 min to Downtown. 10 min to the Chase Center.","WoSF(旧金山之翼/窝舒服)是充满中国风的美式独立屋家庭旅馆,位于旧金山市区阳光灿烂的东南部风景区湾景岗半山腰,两房一厅一卫浴整套出租给同一批客人,最多可住五人｡开车两分钟上101高速公路,13分钟内南可去往旧金山国际机场和硅谷圣荷西,北可去往280高速､旧金山市中心和渔人码头等名胜景点｡走路两个街口有公交车站29路去往旧金山市大州大､金门公园､列治文区域和海边;两个街口可坐公交轻轨电车T-Line直达UCSF､巨人队(Giants)球场Oracle Park､NBA金州勇士队新球场New Golden State Warriors Chase Center､加州火车站Cal-Train Bay Shore Station､海傍大道､旧金山市中心Downtown购物区和金融区,Cable Car叮当车站,市政厅金顶大楼City Hall,及同性恋社区Castro等热门景点｡步行8分钟San Bruno街上有8(8AX)､9､9R路车分别去往渔人码头､中国城,Downtown等｡海内外客人自助旅游､探亲访友､出差开会前来住宿皆宜｡相对于旧金山市中心很难泊车及费用高昂,本民宿可提供一个停车位,适合自驾车或使用Uber､Lyft等租车方式游玩,公交系统也十分方便快捷｡本民宿特别提供为客人早到或迟走行李存取的超值服务｡请向房东咨询详情｡本民宿并不在旧金山市中心,不靠近任何热门景点,豆腐青菜各有所爱,如果您不喜欢我的民宿位置,恳请您不要预订!!! WoSF welcomes up to 5 guests and is located on the sunny and quiet side of San Francisco. The rooms are airy and comfortable with Chinese culture decorations and instrument decors, Blue-and-White porcelains themed furniture and Chinese brush paintings all throughout the house. There are many trees and parks in the area. We are NOT located at central San Francisco NOR ",Wing,100%,,Bayview,Bayview,94124,37.72083,-122.39451,House,Entire home/apt,5,$179.00 ,140,98.0,10.0,10.0,10.0,10.0,9.0,10.0,6.41
23209264,https://www.airbnb.com/rooms/23209264,"Relaxing and private, with views!","Welcome to my cute, cosy, and quiet guest suite situated on the ground floor of my home in the sunny and diverse Bayview district of San Francisco. Look out your living room window to gorgeous city views that stretch to the bay. Make yourself some coffee in the morning, then head out to explore. Just 2 blocks to the local train to downtown SF.  If you're looking for all the conveniences of home, go ahead and book! I'm also a very friendly and nice host! :)  SF Registration: STR (Phone number hidden by Airbnb)","Come back to your own space to relax after enjoying the city.  My guest suite has a kitchenette and comfy living room with lots of seating for 4 to watch free Netflix or Amazon Prime on a 32"" TV if you want to stay home for the evening. The separate bedroom has lots of closet space and a comfortable queen size bed. The bathroom has a spacious shower with good water pressure and all the towels and basic toiletries you'll need.",Linda,94%,,Bayview,Bayview,94124,37.73179,-122.38738,Guest suite,Entire home/apt,2,$120.00 ,135,96.0,10.0,10.0,10.0,10.0,9.0,9.0,6.88
10930490,https://www.airbnb.com/rooms/10930490,Private Suite with Sunny Bedroom,"Feel at home in the sunniest part of SF! This private two-room suite has a separate entrance, parking, sunny bedroom w/ a memory foam mattress, private bath, and a living space w/kitchenette. Two blocks from the Muni-T direct to downtown; also close to Caltrain.","Our private suite has its own entrance and is complete with a kitchenette, living space, full bath, and a sun-drenched bedroom. The bedroom has an amazingly comfortable, full size memory foam mattress and a garden view. The kitchenette and living space are combined with a cozy leather chair for relaxing and a cafe table for dining. In the kitchenette you will find a small refrigerator, microwave, coffee maker, tea kettle, dishes and utensils. In addition to the suite, guests will have access to the garden. Snacks will also be available. Wi-Fi is included and is very high speed! Parking available upon request.",Devanshu,,,Bayview,Bayview,94124,37.72001,-122.39249,House,Entire home/apt,2,$85.00 ,128,97.0,10.0,10.0,10.0,10.0,9.0,10.0,2.85
8102262,https://www.airbnb.com/rooms/8102262,Queen Bedroom w/ Best of Everything,"We have a lovely room with a  queen bed. Our place has the best of everything- minutes to downtown, minutes to the airport, very quiet, free breakfast. It has lots of natural sunlight. The location is perfect for travelers as well as business people.","I provide a private clean, furnished bedroom. The queen bed can fit up to 2 people.  The bedroom is located next to our kitchen and bathroom.  It is large and very sunny as you have 2 large windows.  There is a large TV that has many cable TV channels in the bedroom.  We are a family of 3- husband, wife ( who is from Greece ) and our son who goes to the best high school in SF and plays soccer.  Easy Public transportation to San Francisco financial district, the  embarcadero, pier 39, union square, etc. We are  warm and  friendly hosts. I offer coffee/tea/cereal/yogurt/ granola  for breakfast .  I know the city pretty well, and can guide you to get from point A to point B, suggest great restaurants, places to see, etc.  I also have a private beautiful backyard.  I provide clean towels, soap, queen  bed, breakfast, and Free On Street Parking (the on street  parking is easy in our area, most locations in SF  you need a parking pass when parking for more than 2 hours,  for our  location yo",Hal,100%,,Bayview,Bayview,94124,37.7302,-122.39827,House,Private room,1,$56.00 ,125,97.0,10.0,10.0,10.0,10.0,9.0,10.0,2.49
